year,zone,hour,ev_trip_start,ev_trip_elec
2015,E07000175,MIDNIGHT,20,1.96
2015,W06000001,MIDNIGHT,8,5.04
2015,W06000002,MIDNIGHT,24,0.0
2015,E09000030,MIDNIGHT,31,13.39
2015,E09000032,MIDNIGHT,29,5.83
2015,E09000031,MIDNIGHT,27,3.15
2015,E09000033,MIDNIGHT,22,6.19
2015,E07000143,MIDNIGHT,26,0.16
2015,E07000144,MIDNIGHT,28,7.1
2015,E07000145,MIDNIGHT,15,1.28
2015,E07000146,MIDNIGHT,23,0.0
2015,E07000140,MIDNIGHT,17,0.0
2015,E07000141,MIDNIGHT,19,22.59
2015,E06000049,MIDNIGHT,45,13.31
2015,E07000142,MIDNIGHT,11,0.77
2015,E06000047,MIDNIGHT,70,10.02
2015,E06000045,MIDNIGHT,32,5.68
2015,E06000046,MIDNIGHT,25,0.0
2015,E07000147,MIDNIGHT,19,0.0
2015,E07000026,MIDNIGHT,17,2.12
2015,E06000043,MIDNIGHT,31,3.39
2015,E06000044,MIDNIGHT,33,20.19
2015,E07000148,MIDNIGHT,38,20.04
2015,E07000027,MIDNIGHT,10,1.21
2015,E07000149,MIDNIGHT,21,0.99
2015,E07000028,MIDNIGHT,8,0.91
2015,E06000041,MIDNIGHT,34,8.68
2015,E07000029,MIDNIGHT,5,0.0
2015,E06000042,MIDNIGHT,41,0.0
2015,E06000040,MIDNIGHT,23,2.71
2015,E07000154,MIDNIGHT,44,6.32
2015,E07000033,MIDNIGHT,8,4.49
2015,E07000155,MIDNIGHT,9,2.13
2015,E07000034,MIDNIGHT,14,0.93
2015,E07000156,MIDNIGHT,10,0.0
2015,E07000035,MIDNIGHT,10,1.66
2015,E07000036,MIDNIGHT,13,1.91
2015,E07000150,MIDNIGHT,12,1.08
2015,E07000151,MIDNIGHT,13,0.35
2015,E07000030,MIDNIGHT,11,0.0
2015,E07000152,MIDNIGHT,15,3.51
2015,E07000031,MIDNIGHT,20,25.38
2015,E07000032,MIDNIGHT,19,3.06
2015,E07000153,MIDNIGHT,9,1.14
2015,E06000056,MIDNIGHT,43,3.01
2015,E06000057,MIDNIGHT,43,3.66
2015,E07000037,MIDNIGHT,14,2.16
2015,E06000054,MIDNIGHT,98,5.39
2015,E07000038,MIDNIGHT,16,1.46
2015,E06000055,MIDNIGHT,24,1.92
2015,E07000039,MIDNIGHT,13,1.26
2015,E06000052,MIDNIGHT,76,6.35
2015,E06000053,MIDNIGHT,0,0.0
2015,E06000050,MIDNIGHT,63,12.45
2015,E06000051,MIDNIGHT,54,13.84
2015,E08000012,MIDNIGHT,73,10.98
2015,E08000013,MIDNIGHT,27,4.18
2015,E08000010,MIDNIGHT,36,12.17
2015,E08000011,MIDNIGHT,14,1.69
2015,E07000121,MIDNIGHT,19,7.26
2015,E07000242,MIDNIGHT,20,0.94
2015,E07000122,MIDNIGHT,17,12.98
2015,E07000243,MIDNIGHT,16,9.29
2015,E07000123,MIDNIGHT,24,5.02
2015,E07000124,MIDNIGHT,11,2.84
2015,E06000029,MIDNIGHT,25,2.23
2015,E06000027,MIDNIGHT,13,0.43
2015,E07000240,MIDNIGHT,27,4.37
2015,E06000028,MIDNIGHT,29,0.73
2015,E07000120,MIDNIGHT,18,11.58
2015,E07000241,MIDNIGHT,22,3.82
2015,E06000025,MIDNIGHT,37,4.12
2015,E07000129,MIDNIGHT,18,2.31
2015,E07000008,MIDNIGHT,14,2.82
2015,S12000044,MIDNIGHT,53,14.6
2015,E06000026,MIDNIGHT,57,21.42
2015,S12000045,MIDNIGHT,19,0.81
2015,E07000009,MIDNIGHT,8,1.31
2015,E06000023,MIDNIGHT,76,32.09
2015,S12000046,MIDNIGHT,79,7.51
2015,E06000024,MIDNIGHT,34,0.49
2015,E07000125,MIDNIGHT,15,14.58
2015,E06000021,MIDNIGHT,26,10.71
2015,E07000004,MIDNIGHT,17,3.6
2015,S12000040,MIDNIGHT,33,4.15
2015,S12000041,MIDNIGHT,6,0.71
2015,E07000005,MIDNIGHT,21,13.6
2015,E06000022,MIDNIGHT,32,8.26
2015,E07000126,MIDNIGHT,12,0.7
2015,E07000127,MIDNIGHT,19,1.02
2015,E07000006,MIDNIGHT,11,2.64
2015,S12000042,MIDNIGHT,14,4.79
2015,E07000007,MIDNIGHT,28,2.91
2015,E07000128,MIDNIGHT,17,8.92
2015,E06000020,MIDNIGHT,30,3.29
2015,E08000016,MIDNIGHT,27,7.64
2015,E08000017,MIDNIGHT,37,8.12
2015,E08000014,MIDNIGHT,52,9.14
2015,E08000015,MIDNIGHT,58,14.09
2015,E08000018,MIDNIGHT,38,12.65
2015,E08000019,MIDNIGHT,70,6.08
2015,E08000001,MIDNIGHT,48,5.9
2015,E08000002,MIDNIGHT,30,24.98
2015,E07000132,MIDNIGHT,12,0.0
2015,E07000011,MIDNIGHT,30,1.04
2015,E07000012,MIDNIGHT,24,8.9
2015,E07000133,MIDNIGHT,6,1.32
2015,E07000134,MIDNIGHT,15,0.85
2015,E07000135,MIDNIGHT,6,3.26
2015,E07000130,MIDNIGHT,22,2.66
2015,E06000038,MIDNIGHT,25,3.66
2015,E07000131,MIDNIGHT,11,2.33
2015,E07000010,MIDNIGHT,15,1.74
2015,E06000039,MIDNIGHT,23,8.65
2015,S12000033,MIDNIGHT,30,5.03
2015,E06000036,MIDNIGHT,16,0.84
2015,S12000034,MIDNIGHT,42,3.88
2015,E06000037,MIDNIGHT,23,11.79
2015,S12000035,MIDNIGHT,11,3.01
2015,E06000034,MIDNIGHT,28,9.25
2015,S12000036,MIDNIGHT,76,11.84
2015,E06000035,MIDNIGHT,59,21.19
2015,E06000032,MIDNIGHT,29,4.7
2015,E07000136,MIDNIGHT,9,0.0
2015,E06000033,MIDNIGHT,31,34.3
2015,E07000137,MIDNIGHT,25,9.55
2015,S12000030,MIDNIGHT,13,1.08
2015,E06000030,MIDNIGHT,35,1.65
2015,E07000138,MIDNIGHT,19,0.0
2015,E06000031,MIDNIGHT,24,27.5
2015,E07000139,MIDNIGHT,14,0.0
2015,E08000005,MIDNIGHT,41,17.44
2015,E08000006,MIDNIGHT,44,5.69
2015,E08000003,MIDNIGHT,80,22.48
2015,E08000004,MIDNIGHT,33,9.56
2015,E08000009,MIDNIGHT,38,19.11
2015,S12000038,MIDNIGHT,22,1.86
2015,S12000039,MIDNIGHT,21,7.44
2015,E08000007,MIDNIGHT,55,15.72
2015,E08000008,MIDNIGHT,23,6.46
2015,E07000220,MIDNIGHT,16,2.67
2015,E07000221,MIDNIGHT,19,23.82
2015,E07000222,MIDNIGHT,25,40.5
2015,E06000009,MIDNIGHT,15,4.3
2015,E07000223,MIDNIGHT,16,0.83
2015,E07000102,MIDNIGHT,16,1.47
2015,E06000007,MIDNIGHT,32,17.36
2015,E06000008,MIDNIGHT,28,6.24
2015,E06000005,MIDNIGHT,12,9.27
2015,E06000006,MIDNIGHT,25,8.17
2015,E06000003,MIDNIGHT,19,9.54
2015,E07000228,MIDNIGHT,18,0.0
2015,E07000107,MIDNIGHT,21,23.11
2015,E07000229,MIDNIGHT,17,4.0
2015,E07000108,MIDNIGHT,22,1.66
2015,E06000004,MIDNIGHT,31,7.99
2015,S12000023,MIDNIGHT,2,0.0
2015,E06000001,MIDNIGHT,12,0.88
2015,E07000109,MIDNIGHT,17,2.41
2015,S12000024,MIDNIGHT,21,9.11
2015,E06000002,MIDNIGHT,21,24.48
2015,E07000224,MIDNIGHT,19,13.76
2015,E07000103,MIDNIGHT,20,13.93
2015,E07000225,MIDNIGHT,18,8.76
2015,E07000226,MIDNIGHT,19,6.2
2015,E07000105,MIDNIGHT,29,2.07
2015,S12000020,MIDNIGHT,10,1.44
2015,E07000106,MIDNIGHT,31,2.25
2015,E07000227,MIDNIGHT,20,5.98
2015,S12000021,MIDNIGHT,17,1.09
2015,S12000026,MIDNIGHT,21,0.0
2015,S12000027,MIDNIGHT,5,0.0
2015,S12000028,MIDNIGHT,15,0.0
2015,S12000029,MIDNIGHT,46,29.12
2015,E07000110,MIDNIGHT,25,3.08
2015,E07000111,MIDNIGHT,18,2.03
2015,E07000112,MIDNIGHT,15,18.95
2015,E07000234,MIDNIGHT,12,2.51
2015,E07000113,MIDNIGHT,25,5.18
2015,E06000018,MIDNIGHT,43,0.76
2015,E06000019,MIDNIGHT,27,3.16
2015,E06000016,MIDNIGHT,37,5.47
2015,E06000017,MIDNIGHT,6,0.0
2015,S12000011,MIDNIGHT,16,2.19
2015,E07000239,MIDNIGHT,12,10.31
2015,E07000118,MIDNIGHT,17,4.98
2015,E06000014,MIDNIGHT,27,2.48
2015,E06000015,MIDNIGHT,37,8.46
2015,E07000119,MIDNIGHT,10,2.05
2015,E06000012,MIDNIGHT,23,3.7
2015,S12000013,MIDNIGHT,2,0.0
2015,S12000014,MIDNIGHT,34,1.81
2015,E06000013,MIDNIGHT,26,4.42
2015,E06000010,MIDNIGHT,21,1.91
2015,E07000235,MIDNIGHT,9,0.83
2015,E07000114,MIDNIGHT,25,7.39
2015,E07000115,MIDNIGHT,20,2.22
2015,E06000011,MIDNIGHT,49,4.02
2015,E07000236,MIDNIGHT,13,1.67
2015,E07000237,MIDNIGHT,23,1.26
2015,E07000116,MIDNIGHT,12,1.52
2015,S12000010,MIDNIGHT,11,1.06
2015,E07000117,MIDNIGHT,15,3.59
2015,E07000238,MIDNIGHT,20,17.42
2015,S12000019,MIDNIGHT,10,0.9
2015,S12000015,MIDNIGHT,59,8.5
2015,S12000017,MIDNIGHT,30,0.0
2015,S12000018,MIDNIGHT,11,7.46
2015,E07000200,MIDNIGHT,17,0.0
2015,E07000201,MIDNIGHT,12,1.04
2015,E07000206,MIDNIGHT,20,4.14
2015,E07000207,MIDNIGHT,13,9.78
2015,E07000208,MIDNIGHT,7,6.93
2015,E07000209,MIDNIGHT,29,9.17
2015,E07000202,MIDNIGHT,26,5.07
2015,E07000203,MIDNIGHT,15,11.89
2015,E07000204,MIDNIGHT,27,1.93
2015,E07000205,MIDNIGHT,18,0.0
2015,S12000008,MIDNIGHT,18,2.65
2015,S12000005,MIDNIGHT,5,0.0
2015,S12000006,MIDNIGHT,20,0.0
2015,E07000210,MIDNIGHT,14,0.0
2015,E07000211,MIDNIGHT,21,6.26
2015,E07000212,MIDNIGHT,17,3.31
2015,E07000217,MIDNIGHT,15,2.3
2015,E07000218,MIDNIGHT,13,8.78
2015,E07000219,MIDNIGHT,22,14.27
2015,E07000213,MIDNIGHT,13,7.04
2015,E07000214,MIDNIGHT,21,5.01
2015,E07000215,MIDNIGHT,12,2.85
2015,E07000216,MIDNIGHT,23,8.73
2015,W06000018,MIDNIGHT,22,11.03
2015,W06000019,MIDNIGHT,8,2.02
2015,W06000016,MIDNIGHT,32,2.25
2015,W06000014,MIDNIGHT,30,4.17
2015,W06000015,MIDNIGHT,68,24.02
2015,W06000023,MIDNIGHT,17,0.0
2015,W06000024,MIDNIGHT,8,1.74
2015,W06000021,MIDNIGHT,12,0.0
2015,W06000022,MIDNIGHT,28,9.06
2015,W06000020,MIDNIGHT,16,0.0
2015,E07000080,MIDNIGHT,12,0.94
2015,E07000081,MIDNIGHT,19,22.73
2015,E07000082,MIDNIGHT,28,15.77
2015,E07000083,MIDNIGHT,8,0.0
2015,E07000088,MIDNIGHT,9,1.64
2015,E07000089,MIDNIGHT,14,15.92
2015,E07000084,MIDNIGHT,29,26.67
2015,E07000085,MIDNIGHT,12,0.0
2015,E07000086,MIDNIGHT,18,7.15
2015,E07000087,MIDNIGHT,21,9.48
2015,E07000091,MIDNIGHT,21,2.75
2015,E07000092,MIDNIGHT,14,1.19
2015,E07000093,MIDNIGHT,25,13.36
2015,E07000094,MIDNIGHT,29,10.83
2015,E07000090,MIDNIGHT,27,6.67
2015,E07000099,MIDNIGHT,18,0.0
2015,E07000095,MIDNIGHT,11,13.93
2015,E07000096,MIDNIGHT,24,0.27
2015,E07000098,MIDNIGHT,13,13.84
2015,E09000003,ONEAM,21,7.66
2015,E08000030,ONEAM,6,0.0
2015,E07000180,ONEAM,4,0.16
2015,E08000031,ONEAM,22,2.2
2015,E09000002,ONEAM,3,1.86
2015,E09000005,ONEAM,17,1.25
2015,E07000181,ONEAM,8,0.0
2015,E07000061,ONEAM,9,3.04
2015,E09000004,ONEAM,20,3.18
2015,E09000007,ONEAM,11,9.41
2015,E08000034,ONEAM,23,3.42
2015,E08000035,ONEAM,53,19.52
2015,E09000006,ONEAM,11,4.54
2015,E09000009,ONEAM,15,3.55
2015,E08000032,ONEAM,28,8.87
2015,E09000008,ONEAM,11,0.94
2015,E08000033,ONEAM,8,2.37
2015,E07000066,ONEAM,15,1.8
2015,E07000187,ONEAM,7,0.0
2015,E07000067,ONEAM,9,0.24
2015,E07000188,ONEAM,9,0.0
2015,E07000068,ONEAM,8,0.82
2015,E07000189,ONEAM,15,2.07
2015,E07000069,ONEAM,8,2.35
2015,E07000062,ONEAM,3,0.68
2015,E07000063,ONEAM,2,0.0
2015,E07000064,ONEAM,9,0.0
2015,E07000065,ONEAM,9,0.0
2015,E08000036,ONEAM,26,21.64
2015,E08000037,ONEAM,18,6.13
2015,E09000001,ONEAM,1,0.0
2015,E09000014,ONEAM,10,10.96
2015,E07000190,ONEAM,19,5.11
2015,E07000070,ONEAM,16,1.02
2015,E09000013,ONEAM,8,0.0
2015,E07000191,ONEAM,0,0.0
2015,E07000071,ONEAM,14,0.0
2015,E09000016,ONEAM,8,8.69
2015,E07000192,ONEAM,10,2.12
2015,E07000072,ONEAM,9,0.0
2015,E09000015,ONEAM,15,0.13
2015,E07000193,ONEAM,8,0.0
2015,E08000023,ONEAM,11,0.38
2015,E09000018,ONEAM,18,16.64
2015,E09000017,ONEAM,15,11.11
2015,E08000024,ONEAM,9,3.82
2015,E08000021,ONEAM,17,3.88
2015,E08000022,ONEAM,15,4.11
2015,E09000019,ONEAM,3,0.0
2015,E07000077,ONEAM,4,0.0
2015,E07000198,ONEAM,1,0.0
2015,E07000199,ONEAM,5,1.45
2015,E07000078,ONEAM,13,3.63
2015,E07000079,ONEAM,8,0.3
2015,E07000073,ONEAM,8,0.63
