timestep,national,annual,adoption
2019,national,1,1
2020,national,1,2
2021,national,1,3
2022,national,1,5
2023,national,1,7
2024,national,1,10
2025,national,1,13
2026,national,1,18
2027,national,1,24
2028,national,1,31
2029,national,1,38
2030,national,1,45
