timestep,national,annual,adoption
2019,national,1,1
2020,national,1,3
2021,national,1,5
2022,national,1,9
2023,national,1,14
2024,national,1,21
2025,national,1,31
2026,national,1,42
2027,national,1,53
2028,national,1,62
2029,national,1,69
2030,national,1,73
