timestep,national,annual,adoption
2019,national,1,1
2020,national,1,4.314770308
2021,national,1,8.670076716
2022,national,1,16.57138402
2023,national,1,29.09721637
2024,national,1,45.25567893
2025,national,1,61.34847475
2026,national,1,73.7336888
2027,national,1,81.50636173
2028,national,1,85.7776379
2029,national,1,87.95487229
2030,national,1,89.02222681
